Number,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,ProductId,State,Market,Market Size,Product Type,Product,Type
1,94,130,219,89,36,24,777,1,Connecticut,East,Small Market,Coffee,Amaretto,Regular
2,68,107,190,83,39,27,623,2,Washington,West,Small Market,Coffee,Columbian,Regular
3,101,139,234,95,38,26,821,3,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
4,30,56,100,44,26,14,623,13,,South,Major Market,Espresso,Caffe Latte,Regular
5,54,80,134,54,26,15,456,5,New York,East,Major Market,Espresso,Caffe Mocha,Regular
6,53,108,180,72,55,23,558,6,California,West,Major Market,Espresso,Decaf Espresso,Decaf
7,99,171,341,170,72,47,1091,8,Texas,South,Major Market,Espresso,Regular Espresso,Regular
8,0,87,150,63,87,57,435,9,Ohio,Central,Major Market,Herbal Tea,Chamomile,Decaf
9,33,80,140,60,47,19,336,10,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
10,17,72,130,58,55,22,338,11,Illinois,Central,Major Market,Herbal Tea,Mint,Decaf
11,36,76,140,64,40,19,965,12,Louisiana,South,Small Market,Tea,Darjeeling,Regular
12,111,201,345,144,90,47,862,2,Ohio,Central,Major Market,Tea,Earl Grey,Regular
13,87,139,234,95,52,30,608,3,Florida,East,Major Market,Tea,Green Tea,Regular
14,203,312,546,234,109,77,1310,5,Washington,West,Small Market,Coffee,Amaretto,Regular
15,140,228,456,228,88,63,1459,6,Texas,South,Major Market,Coffee,Columbian,Regular
16,95,130,219,89,35,24,777,8,Wisconsin,Central,Small Market,Coffee,Decaf Irish Cream,Decaf
17,68,107,190,83,39,27,623,9,Texas,South,Major Market,Espresso,Caffe Latte,Regular
18,101,139,234,95,38,26,821,10,Colorado,Central,Major Market,Espresso,Caffe Mocha,Regular
19,53,80,134,54,27,15,456,11,Florida,East,Major Market,Espresso,Decaf Espresso,Decaf
20,54,108,180,72,54,23,558,12,Illinois,Central,Major Market,Espresso,Regular Espresso,Regular
21,11,27,45,18,16,5,821,1,California,West,Major Market,Herbal Tea,Chamomile,Decaf
22,5,34,62,28,29,8,965,2,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
23,12,31,54,23,19,7,623,3,Missouri,Central,Small Market,Herbal Tea,Mint,Decaf
24,11,26,43,17,15,4,777,5,New York,East,Major Market,Tea,Darjeeling,Regular
25,10,26,43,17,16,4,777,6,Louisiana,South,Small Market,Tea,Earl Grey,Regular
26,202,312,546,234,110,77,1310,8,Iowa,Central,Small Market,Tea,Green Tea,Regular
27,86,139,234,95,53,30,608,9,Florida,East,Major Market,Coffee,Amaretto,Regular
28,141,228,456,228,87,63,1459,11,California,West,Major Market,Coffee,Columbian,Regular
29,175,301,546,245,126,93,1419,12,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
30,39,105,190,85,66,32,494,2,Ohio,Central,Major Market,Espresso,Caffe Latte,Regular
31,47,92,170,78,45,24,965,3,Louisiana,South,Small Market,Espresso,Caffe Mocha,Regular
32,-4,42,76,34,46,12,197,13,Massachusetts,East,Major Market,Espresso,Decaf Espresso,Decaf
33,48,73,123,50,25,14,821,5,New York,East,Major Market,Espresso,Regular Espresso,Regular
34,45,68,114,46,23,12,777,6,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
35,-11,53,90,37,64,34,261,8,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
36,-39,11,99,88,50,27,525,9,Washington,West,Small Market,Herbal Tea,Mint,Decaf
37,9,47,82,35,38,11,196,11,Texas,South,Major Market,Tea,Darjeeling,Regular
38,-9,36,65,29,45,11,169,12,Florida,East,Major Market,Tea,Earl Grey,Regular
39,34,80,140,60,46,19,336,1,Oklahoma,South,Small Market,Tea,Green Tea,Regular
40,42,83,140,57,41,18,364,2,Florida,East,Major Market,Coffee,Amaretto,Regular
41,0,87,150,63,87,57,435,3,California,West,Major Market,Coffee,Columbian,Regular
42,67,116,200,84,49,26,500,12,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
43,16,72,130,58,56,22,338,6,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
